object_id,sector,provider_name,timespan_begin,timespan_end,dc_type,dc_subject,metadata_format,view_fields,digitized
22ENVEMJNJEKSCKBPWXY7WZNMBI6AXEX,Archive,Klassik Stiftung Weimar: Goethe- und Schiller-Archiv,1796.0,1796.0,"[""Dokument""]","[""Sachsen-Gotha und Altenburg, August Prinz von"", ""Goethe, Johann Wolfgang von""]",EAD,"[""Signatur"", ""Bestand"", ""Kontext"", ""Laufzeit"", ""Umfang"", ""Archivalientyp"", ""Indexbegriffe Person/Institution"", ""Archivalientitel""]",True
22FBS4IYH6WMOG54LB7VMNYYQOT4WYNN,Library,Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek,1932.0,1932.0,"[""Abschnitt""]",[],METS,"[""Dokumenttyp"", ""Erschienen in"", ""Sprache"", ""Umfang"", ""Förderung""]",True
22FS7COMAUQRBLUXTGSWGJJXKSRN7GY2,Library,ZBW - Deutsche Zentralbibliothek für Wirtschaftswissenschaften - Leibniz-Informationszentrum Wirtschaft,2011.0,2011.0,"[""Arbeitspapier""]","[""Wirtschaft""]",Dublin Core,"[""Objektbezeichnung"", ""Klassifikation"", ""Ereignis"", ""(wer)"", ""Ereignis"", ""(wer)"", ""(wo)"", ""(wann)"", ""Erschienen in"", ""Sprache"", ""URN"", ""Handle""]",True
22FXIOS6OQMMYSDHMNJRQPADHUHLZPDG,Library,Deutsche Nationalbibliothek,2018.0,2018.0,"[""Hochschulschrift""]","[""Duya"", ""Grammatik""]",MARC 21,"[""Urheber"", ""Beteiligte Personen und Organisationen"", ""Ereignis"", ""(wo)"", ""(wer)"", ""(wann)"", ""Ausgabe"", ""Dokumenttyp"", ""Sprache"", ""Umfang"", ""Maße"", ""Anmerkungen"", ""Inhaltsverzeichnis"", ""Schlagwort"", ""Erschienen in"", ""ISBN"", ""Standort""]",False
22FZQ3WLTFXY42OEJRWLDFUASLKUW6SZ,Archive,Stadtarchiv Mainz,1612.0,1612.0,"[""Urkunden""]",[],EAD,"[""Titel der Archivalie (ungekürzt)"", ""Archivaliensignatur"", ""Bestand"", ""Kontext"", ""Laufzeit"", ""Provenienz"", ""Formalbeschreibung"", ""Archivalientyp"", ""Bemerkungen""]",False
22GGUBVRMXXCFOPXSXXY2BYSX6SWJHKU,Archive,Klassik Stiftung Weimar: Goethe- und Schiller-Archiv,1824.0,1824.0,"[""Dokument""]","[""Müller, Friedrich von"", ""Goethe, Johann Wolfgang von""]",EAD,"[""Signatur"", ""Bestand"", ""Kontext"", ""Laufzeit"", ""Umfang"", ""Archivalientyp"", ""Indexbegriffe Person/Institution"", ""Archivalientitel""]",True
22GZUXQY5UGEMPTPX32HKAY2TA4YJ7PY,Archive,Landesarchiv Nordrhein-Westfalen. Abteilung Rheinland,,,[],[],EAD,"[""Archivaliensignatur"", ""Bestand"", ""Kontext"", ""Provenienz"", ""Archivalientyp"", ""Bemerkungen""]",False
22HCVXBU6FWCNI5RGHLYYV5SHESDTH34,Library,Deutsche Nationalbibliothek,2015.0,,[],"[""Erziehung, Schul- und Bildungswesen""]",MARC 21,"[""Ereignis"", ""(wo)"", ""(wer)"", ""(wann)"", ""Sprache"", ""Umfang"", ""Anmerkungen"", ""Inhaltsverzeichnis"", ""Klassifikation"", ""Erschienen in"", ""Standort""]",False
22HOHBM2DCZ232CPIA5K5NDEQBONH4X5,Library,Deutsche Nationalbibliothek,,,"[""Hochschulschrift""]",[],MARC 21,"[""Urheber"", ""Dokumenttyp"", ""Sprache"", ""Umfang"", ""Maße"", ""Anmerkungen"", ""Inhaltsverzeichnis"", ""Standort""]",False
22HUEOIIRONDM7QLEWDF2TQOVIE4RIWF,Library,Deutsche Nationalbibliothek,2021.0,2021.0,[],"[""Articular cartilage"", ""Relevance""]",MARC 21,"[""Urheber"", ""Beteiligte Personen und Organisationen"", ""Ereignis"", ""(wo)"", ""(wer)"", ""(wann)"", ""Sprache"", ""Umfang"", ""Anmerkungen"", ""Schlagwort"", ""URN"", ""Standort""]",True
22HUYJ63ZCOLXXJUAIGBLEIMB3SLUZBL,Museum,Deutsche Fotothek,1951.0,1951.0,"[""Putto""]","[""Lustschloss"", ""Winter"", ""Winter"", ""Schloss Übigau"", ""Schloss Übigau"", ""Schloss Übigau"", ""Schloss Übigau"", ""Dresden"", ""Dresden"", ""Flemming, Jakob Heinrich von"", ""Friedrich August I. der Starke, Kurfürst von Sachsen"", ""Siemen, Paul"", ""Flemming, Jakob Heinrich (Graf)"", ""August (Sachsen, Kurfürst, 1, der Starke)"", ""Siemen, Paul"", ""Göthe, Eosander von""]",LIDO,"[""Objekt Bezeichnung"", ""Objektbeschreibung"", ""Ereignis"", ""(wer)"", ""(wann)"", ""Bezug (was)"", ""Bezug (wer)"", ""Bezug (wo)"", ""Bezug (Ereignis)"", ""(wer)"", ""(wann)"", ""(Beschreibung)"", ""Klassifikation"", ""Weitere Nummer(n)""]",True
22I5HALVKVZ2XZFWXVFTDY3VML664LRY,Other,Freies Deutsches Hochstift / Frankfurter Goethe-Museum - Kunstsammlung / Museum,1794.0,1794.0,"[""Plastik""]","[""Friedrich Schiller""]",LIDO,"[""Objekt Bezeichnung"", ""Objektbeschreibung"", ""Material/Technik"", ""Maße"", ""Ereignis"", ""(wer)"", ""(wann)"", ""(Beschreibung)"", ""Ereignis"", ""(wer)"", ""(wann)"", ""Bezug (wer)"", ""Verwandtes Objekt/Literatur"", ""Standort"", ""Inventarnummer"", ""Förderung"", ""Sammlung""]",True
22IVJ6PSFXX5H2ZSJOSDVP7DR4CXSEXA,Library,Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden,1776.0,1776.0,"[""Kapitel""]",[],METS,"[""Dokumenttyp"", ""Erschienen in"", ""Sprache"", ""Förderung""]",True
22J6CGNOWFIEKO2FSFSW3LZ7EQ3NZTX3,Library,Herzogin Anna Amalia Bibliothek,1789.0,1789.0,"[""Kapitel""]",[],METS,"[""Dokumenttyp"", ""Erschienen in"", ""Erschienen"", ""Sprache""]",True
22JE2SMIJKPYJDL4RI3USAAXE52KHXCG,Archive,Hessisches Hauptstaatsarchiv,1867.0,1867.0,"[""Fallakte (allgemein)""]",[],EAD,"[""Archivaliensignatur"", ""Bestand"", ""Kontext"", ""Laufzeit"", ""Archivalientyp"", ""Sonstige Erschließungsangaben""]",False
22JYRGGX3VCLOGQTYW5UMCCCT76VTRBY,Library,Deutsche Nationalbibliothek,2020.0,2020.0,[],"[""Erziehung, Schul- und Bildungswesen""]",MARC 21,"[""Urheber"", ""Ereignis"", ""(wo)"", ""(wer)"", ""(wann)"", ""Sprache"", ""Umfang"", ""Anmerkungen"", ""Klassifikation"", ""URN"", ""Standort""]",True
22KEGSLBX7XK4OUMHZ7VLFXUL75IMNZE,Library,Deutsche Nationalbibliothek,1925.0,,[],[],MARC 21,"[""Urheber"", ""Ereignis"", ""(wo)"", ""(wer)"", ""(wann)"", ""Ausgabe"", ""Sprache"", ""Umfang"", ""Inhaltsverzeichnis"", ""Erschienen in"", ""Standort""]",False
22KKOM5GHKAUHLYZNGGV5EWHBS7VBUNZ,Library,Deutsche Nationalbibliothek,2012.0,2012.0,[],"[""Stiftungshochschule"", ""Satzung"", ""Auswahlverfahren"", ""Hochschulzulassung"", ""Studiengang"", ""Erziehung, Schul- und Bildungswesen"", ""Goethe-Universität Frankfurt am Main""]",MARC 21,"[""Ereignis"", ""(wo)"", ""(wer)"", ""(wann)"", ""Sprache"", ""Umfang"", ""Schlagwort"", ""Klassifikation"", ""Erschienen in"", ""URN"", ""Standort""]",True
22KLBUH3CGPOMMKHZY5OE4RHZ73EME2S,Other,Theatermuseum & Dumont-Lindemann-Archiv der Landeshauptstadt Düsseldorf,1949.0,1949.0,"[""Rollenporträt""]","[""Clasen, Hans Walter""]",LIDO,"[""AlternativTitel"", ""Objekt Bezeichnung"", ""Objektbeschreibung"", ""Material/Technik"", ""Maße"", ""Ereignis"", ""(wann)"", ""Ereignis"", ""(wer)"", ""Ereignis"", ""(wer)"", ""Ereignis"", ""(wer)"", ""Bezug (wer)"", ""Verwandtes Objekt/Literatur"", ""Standort"", ""Inventarnummer""]",True
22KMEOGF3M6IFKKAISV643URK26G6CHD,Archive,Landesarchiv Nordrhein-Westfalen. Abteilung Westfalen,1956.0,1992.0,[],[],EAD,"[""Archivaliensignatur"", ""Bestand"", ""Kontext"", ""Laufzeit"", ""Enthältvermerke"", ""Provenienz"", ""Archivalientyp""]",False
22L6XNPUEG7GB2W5MX6M5SDZBKAEEX2B,Other,Freies Deutsches Hochstift / Frankfurter Goethe-Museum - Kunstsammlung / Museum,1943.0,1943.0,"[""Druckgraphik""]","[""Faust. Eine Tragödie, zweiter Teil"", ""Drama""]",LIDO,"[""Objekt Bezeichnung"", ""Objektbeschreibung"", ""Material/Technik"", ""Maße"", ""Ereignis"", ""(wer)"", ""(wann)"", ""(Beschreibung)"", ""Bezug (was)"", ""Beschriftung"", ""Standort"", ""Inventarnummer"", ""Sammlung""]",True
22LIUJK46QFXXNMRGYGUJPQDMXVWPDXJ,Archive,Stadtarchiv Düsseldorf,2004.0,2004.0,"[""Sonstiges""]",[],EAD,"[""Bestand"", ""Kontext"", ""Laufzeit"", ""Formalbeschreibung"", ""Archivalientyp"", ""Sonstige Erschließungsangaben"", ""Archivalientitel""]",False
22M3I363CMY6I6TH62AAGCZ52V6GYBFX,Other,Freies Deutsches Hochstift / Frankfurter Goethe-Museum - Kunstsammlung / Museum,1911.0,1913.0,"[""Druckgraphik""]","[""Prosa"", ""Biographie"", ""Benvenuto Cellini"", ""Benvenuto Cellini (Figur in Goethes Benvenuto Cellini)""]",LIDO,"[""Objekt Bezeichnung"", ""Objektbeschreibung"", ""Material/Technik"", ""Maße"", ""Ereignis"", ""(wer)"", ""(Beschreibung)"", ""Ereignis"", ""(wer)"", ""(wo)"", ""(wann)"", ""(Beschreibung)"", ""Ereignis"", ""(wer)"", ""(Beschreibung)"", ""Bezug (was)"", ""Bezug (wer)"", ""Verwandtes Objekt/Literatur"", ""Standort"", ""Inventarnummer"", ""Sammlung""]",True
22M54XUOB7WWC46DVDT3AFCZ3W6Q5AL7,Archive,Saarländisches Landesarchiv,1858.0,1919.0,"[""Archivale""]","[""Reden""]",EAD,"[""Archivaliensignatur"", ""Bestand"", ""Kontext"", ""Laufzeit"", ""Archivalientyp"", ""Indexbegriffe Ort"", ""Digitalisat im Angebot des Archivs""]",True
22M57S4PMQZT44QKBXJDTLPQ7DWHQBNU,Archive,Klassik Stiftung Weimar: Goethe- und Schiller-Archiv,1803.0,1803.0,"[""Dokument""]","[""Schultze, Karl Adolf"", ""Goethe, Johann Wolfgang von""]",EAD,"[""Signatur"", ""Bestand"", ""Kontext"", ""Laufzeit"", ""Umfang"", ""Archivalientyp"", ""Indexbegriffe Person/Institution"", ""Archivalientitel""]",True
